Rank,Address,Address_Nametag,Quantity,Percentage,Value
1,0xda13cec4fba742e123b5093dfd00b9e020d1be24,,"11,007,078.17",64.56%,"$6,556,167.99"
2,0x25d28a24ceb6f81015bb0b2007d795acac411b4d,,"3,736,573.60",21.92%,"$2,225,622.81"
3,0x5786b267d35f9d011c4750e0b0ba584e1fdbead1,,"240,833.34",1.41%,"$143,448.04"
4,0x51e3d44172868acc60d68ca99591ce4230bc75e0,MEXC.com,"232,536.96",1.36%,"$138,506.45"
5,0xa420a876c73be07bbedea94ad975888e5244a127,,"150,000",0.88%,"$89,344.80"
6,0x0d0707963952f2fba59dd06f2b425ace40b492fe,Gate.io 1,"71,259.85",0.42%,"$42,444.65"
7,0x242cfefadb24482f4621d24159dd894179bd356e,,"67,228.24",0.39%,"$40,043.29"
8,0x5d7462e2c649437dbde279521dbcf52ec70788e3,,"62,469.87",0.37%,"$37,209.05"
9,0xb2d0d5c86d933b0acefe9b95bec160d514d152e1,,"54,147.36",0.32%,"$32,251.90"
10,0xd8d6ffe342210057bf4dcc31da28d006f253cef0,,"46,854.66",0.27%,"$27,908.13"
11,0x2781af561003c2fd9d45647885eda0dfbff3be28,,"43,121.36",0.25%,"$25,684.46"
12,0xfec3a995588a4bc72bed6a47f6c3a61946030001,,"40,516.28",0.24%,"$24,132.79"
13,0x896b94f4f27f12369698c302e2049cae86936bbb,,"35,000.00",0.21%,"$20,847.12"
14,0x7fcc81e393c71b76062026f60c21867ca9b3d938,,"34,614.34",0.20%,"$20,617.41"
15,0x400e845881105c0f8e749e3e5c6c6350471b8d6c,,"34,087.08",0.20%,"$20,303.35"
16,0x64a3b8ca5a7e406a78e660ae10c7563d9153a739,,"27,972.66",0.16%,"$16,661.41"
17,0x9803c7ae526049210a1725f7487af26fe2c24614,,"24,156.81",0.14%,"$14,388.57"
18,0x3f5141987214f4ef5ca16fb4c77dbcca5f0cd24a,,"23,839.78",0.14%,"$14,199.73"
